cep,longitude,latitude
82821020,-49.2160678044742,-25.4233146347775
81350686,-49.3400481020638,-25.4936598469491
82530380,-49.2336060009616,-25.4300625729625
82930390,-49.2047594214569,-25.4608672106041
81320083,-49.3183277499707,-25.4770955000105
81020150,-49.2875810685635,-25.4852090685074
81250720,-49.3385838295334,-25.4815524899573
81900560,-49.2709988129397,-25.5386532636233
80530040,-49.2723748799989,-25.4219925091123
81530380,-49.2300931009572,-25.4625848305665
81490010,-49.3537353191769,-25.6154928550559
81900670,-49.2827186530876,-25.5457748986399
82930370,-49.2053096781914,-25.4627990031427
81830020,-49.2675350633395,-25.5125646322447
81050610,-49.3106146746474,-25.4838938211145
81350320,-49.3318588311607,-25.4992029361912
81030100,-49.2706444334036,-25.4832995440473
82025101,-49.3131316666906,-25.4089804447922
82310354,-49.3504773749079,-25.4289407812710
81170370,-49.3258065209142,-25.5144656687780
81510160,-49.2447744337813,-25.4561970876697
81260160,-49.3487030000000,-25.4882090000000
82840120,-49.2167226661471,-25.4055829533743
81910230,-49.2672872891657,-25.5278877309024
82640400,-49.2387994310608,-25.3780721034646
81470255,-49.3374921110026,-25.5696304444580
82130580,-49.2806546453490,-25.3655056873644
81130330,-49.3062616741933,-25.5102533750322
80045160,-49.2577479501360,-25.4227240373025
82100270,-49.2883068119821,-25.4014680627492
80060170,-49.2593020468696,-25.4278721677395
81110070,-49.2938690633352,-25.5038132404982
81320290,-49.3107362306741,-25.4748252660661
82415070,-49.3367376666649,-25.3666350000001
82515190,-49.2294960000000,-25.3992380000000
82650470,-49.2428589272921,-25.3694403145923
81452040,-49.3545044201704,-25.4998370213564
81570240,-49.2271006252739,-25.4811182084669
82015100,-49.3254408265132,-25.4177303741766
81650170,-49.2251870078443,-25.4968831947737
80620340,-49.2732563508827,-25.4540745011999
82860360,-49.1953359321141,-25.3827108510463
81030380,-49.2772121864255,-25.4878438322257
81110190,-49.2879505576038,-25.4985135816744
82315100,-49.3562615743809,-25.4138947234128
81920735,-49.2615212690534,-25.5391678846873
81030180,-49.2647633349843,-25.4763519008138
81825210,-49.2736153558222,-25.5262738689431
80035230,-49.2512257402299,-25.4008064386385
